gamePk,date,home,away,status
745674,2024-04-17T01:40:00Z,Oakland Athletics,St. Louis Cardinals,Final
746157,2024-04-17T02:10:00Z,Los Angeles Dodgers,Washington Nationals,Final
746809,2024-04-16T23:40:00Z,Chicago White Sox,Kansas City Royals,Final
746076,2024-04-17T16:10:00Z,Miami Marlins,San Francisco Giants,Final
747049,2024-04-17T17:05:00Z,Baltimore Orioles,Minnesota Twins,Final
745836,2024-04-17T17:10:00Z,New York Mets,Pittsburgh Pirates,Final
746487,2024-04-17T17:10:00Z,Detroit Tigers,Texas Rangers,Final
746005,2024-04-17T17:10:00Z,Milwaukee Brewers,San Diego Padres,Final
746401,2024-04-17T18:10:00Z,Houston Astros,Atlanta Braves,Final
746807,2024-04-17T18:10:00Z,Chicago White Sox,Kansas City Royals,Final
746809,2024-04-17T18:15:00Z,Chicago White Sox,Kansas City Royals,Final
744948,2024-04-17T19:07:00Z,Toronto Blue Jays,New York Yankees,Final
746159,2024-04-17T19:10:00Z,Los Angeles Dodgers,Washington Nationals,Final
745671,2024-04-17T19:37:00Z,Oakland Athletics,St. Louis Cardinals,Final
747212,2024-04-17T19:40:00Z,Arizona Diamondbacks,Chicago Cubs,Final
745267,2024-04-17T20:10:00Z,Seattle Mariners,Cincinnati Reds,Final
745591,2024-04-17T22:05:00Z,Philadelphia Phillies,Colorado Rockies,Final
745105,2024-04-17T22:50:00Z,Tampa Bay Rays,Los Angeles Angels,Final
746973,2024-04-17T23:10:00Z,Boston Red Sox,Cleveland Guardians,Final
745104,2024-04-18T17:10:00Z,Tampa Bay Rays,Los Angeles Angels,Final
746485,2024-04-18T17:10:00Z,Detroit Tigers,Texas Rangers,Final
746970,2024-04-18T17:35:00Z,Boston Red Sox,Cleveland Guardians,Final
745356,2024-04-19T01:45:00Z,San Francisco Giants,Arizona Diamondbacks,Final
746891,2024-04-18T23:40:00Z,Chicago Cubs,Miami Marlins,Final
746892,2024-04-19T18:20:00Z,Chicago Cubs,Miami Marlins,Final
746729,2024-04-19T22:40:00Z,Cincinnati Reds,Los Angeles Angels,Final
745518,2024-04-19T22:40:00Z,Pittsburgh Pirates,Boston Red Sox,Final
745592,2024-04-19T22:40:00Z,Philadelphia Phillies,Chicago White Sox,Final
744872,2024-04-19T22:45:00Z,Washington Nationals,Houston Astros,Final
745758,2024-04-19T23:05:00Z,New York Yankees,Tampa Bay Rays,Final
746650,2024-04-19T23:10:00Z,Cleveland Guardians,Oakland Athletics,Final
747136,2024-04-19T23:20:00Z,Atlanta Braves,Texas Rangers,Final
746325,2024-04-19T23:40:00Z,Kansas City Royals,Baltimore Orioles,Final
745922,2024-04-20T00:10:00Z,Minnesota Twins,Detroit Tigers,Final
745189,2024-04-20T00:15:00Z,St. Louis Cardinals,Milwaukee Brewers,Final
745430,2024-04-20T01:40:00Z,San Diego Padres,Toronto Blue Jays,Final
746160,2024-04-20T02:10:00Z,Los Angeles Dodgers,New York Mets,Final
745352,2024-04-20T02:15:00Z,San Francisco Giants,Arizona Diamondbacks,Final
746572,2024-04-20T00:40:00Z,Colorado Rockies,Seattle Mariners,Final
745760,2024-04-20T17:05:00Z,New York Yankees,Tampa Bay Rays,Final
745921,2024-04-20T18:10:00Z,Minnesota Twins,Detroit Tigers,Final
745190,2024-04-20T18:15:00Z,St. Louis Cardinals,Milwaukee Brewers,Final
746893,2024-04-20T18:20:00Z,Chicago Cubs,Miami Marlins,Final
746891,2024-04-20T23:40:00Z,Chicago Cubs,Miami Marlins,Final
744865,2024-04-20T20:05:00Z,Washington Nationals,Houston Astros,Final
746156,2024-04-20T20:05:00Z,Los Angeles Dodgers,New York Mets,Final
745515,2024-04-20T20:05:00Z,Pittsburgh Pirates,Boston Red Sox,Final
745354,2024-04-20T20:05:00Z,San Francisco Giants,Arizona Diamondbacks,Final
745590,2024-04-20T22:05:00Z,Philadelphia Phillies,Chicago White Sox,Final
746651,2024-04-20T22:10:00Z,Cleveland Guardians,Oakland Athletics,Final
746726,2024-04-20T22:40:00Z,Cincinnati Reds,Los Angeles Angels,Final
746324,2024-04-20T23:10:00Z,Kansas City Royals,Baltimore Orioles,Final
