gamePk,date,home_team,away_team,status,home_score,away_score
776158,2025-09-27T22:10:00Z,Cleveland Guardians,Texas Rangers,Preview,,
776153,2025-09-27T23:10:00Z,Milwaukee Brewers,Cincinnati Reds,Preview,,
776156,2025-09-27T23:15:00Z,Atlanta Braves,Pittsburgh Pirates,Preview,,
776152,2025-09-28T00:40:00Z,San Diego Padres,Arizona Diamondbacks,Preview,,
776155,2025-09-28T01:38:00Z,Los Angeles Angels,Houston Astros,Preview,,
776150,2025-09-28T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,Preview,,
776154,2025-09-28T02:05:00Z,Athletics,Kansas City Royals,Preview,,
776151,2025-09-28T19:05:00Z,Boston Red Sox,Detroit Tigers,Preview,,
776138,2025-09-28T19:05:00Z,Athletics,Kansas City Royals,Preview,,
776137,2025-09-28T19:05:00Z,San Francisco Giants,Colorado Rockies,Preview,,
776141,2025-09-28T19:05:00Z,Philadelphia Phillies,Minnesota Twins,Preview,,
776143,2025-09-28T19:05:00Z,Washington Nationals,Chicago White Sox,Preview,,
776140,2025-09-28T19:05:00Z,New York Yankees,Baltimore Orioles,Preview,,
776135,2025-09-28T19:07:00Z,Los Angeles Angels,Houston Astros,Preview,,
776145,2025-09-28T19:07:00Z,Toronto Blue Jays,Tampa Bay Rays,Preview,,
776136,2025-09-28T19:10:00Z,San Diego Padres,Arizona Diamondbacks,Preview,,
776139,2025-09-28T19:10:00Z,Seattle Mariners,Los Angeles Dodgers,Preview,,
776147,2025-09-28T19:10:00Z,Cleveland Guardians,Texas Rangers,Preview,,
776148,2025-09-28T19:10:00Z,Miami Marlins,New York Mets,Preview,,
