match_time,home_team,away_team,site,market,outcome,odds
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,DraftKings,spreads,Minnesota Twins,1.49
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,BetMGM,h2h,Cincinnati Reds,1.77
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,BetMGM,h2h,Minnesota Twins,2.1
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,BetUS,h2h,Cincinnati Reds,1.78
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,BetUS,h2h,Minnesota Twins,2.17
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,BetUS,spreads,Cincinnati Reds,2.64
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,BetUS,spreads,Minnesota Twins,1.53
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,Bovada,h2h,Cincinnati Reds,1.77
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,Bovada,h2h,Minnesota Twins,2.08
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,Bovada,spreads,Cincinnati Reds,2.65
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,Bovada,spreads,Minnesota Twins,1.51
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,BetRivers,h2h,Cincinnati Reds,1.81
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,BetRivers,h2h,Minnesota Twins,2.02
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,BetRivers,spreads,Cincinnati Reds,2.6
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,BetRivers,spreads,Minnesota Twins,1.49
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,FanDuel,h2h,Atlanta Braves,1.5
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,FanDuel,h2h,New York Mets,2.68
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,FanDuel,spreads,Atlanta Braves,2.05
